business_id,city,name,review_count,stars,state,price_range,number_of_checkins,category,restaurant
P1fJb2WQ1mXoiudj8UE44w,Carnegie,Papa J's,64,3.5,PA,2,86,Italian,1
8QlnAcjGE6dgfKTVoxrPvQ,Pittsburgh,Boston Market,3,2.5,PA,2,5,American (Traditional),1
3gmBc0qN_LtGbZAjTtHWZg,Homestead,Starbucks,20,3.5,PA,2,207,Food,0
yHTLTr-QN-loO_7XoxS8qg,Munhall,Michaels,8,3,PA,2,64,,0
iQLLIdmJSt6LQHSjpZERLA,Homestead,Yankee Candle Co.,3,4,PA,2,21,,0
57HN9fGRar_GckBmgHgemA,Homestead,Filene's Basement,6,4,PA,2,0,,0
0hrB2iwQZ52VZcZWYywXrA,Homestead,Joe Dilorio's Auto Body Shop,10,4.5,PA,,0,,0
gClSqcwuLsgyZRCzhJc7Dg,Homestead,Lowe's Home Improvement,8,3,PA,2,135,,0
CgGT6sr4OCF2BHYngOIqlw,Homestead,Paw's In the Family Pet Grooming,3,5,PA,,0,,0
#NAME?,Homestead,Italian Village Pizza,4,2.5,PA,,0,Pizzza,1
frIRW4BGhdAWbSsG5ev2ng,Homestead,Master Muffler & Brakes,3,3.5,PA,,0,,0
tv8cS4aaA1VDaInYgggb6g,Homestead,Improv Comedy Club,40,3,PA,2,140,Nightlife,0
eT5Ck7Gg1dBJobca9VFovw,Homestead,Giant Eagle,31,3.5,PA,2,192,Food,0
HwwEfnZKLNOUoqfgcwAgcQ,Homestead,Barnes & Noble Booksellers,17,3.5,PA,2,139,,0
uI0LvTXFACid1308KFO5ew,Homestead,Sandcastle Water Park,16,3,PA,,60,,0
Y4CcDDyMoDpK7BbpKawWjw,Homestead,American Buyers Discount Mattress Store,3,5,PA,2,0,,0
RxKrw38oyeYszQ6guY5b1A,Homestead,First Class Limousine Service,11,5,PA,,0,,0
TfvWSIAMFZ9zI3y2-K6wOA,Munhall,The Dragon Chinese Cuisine,5,3.5,PA,1,3,Chinese,1
Eu3Iwje0YY8ectr-CxMgqg,Homestead,Bath & Body Works,4,4.5,PA,3,13,,0
XhbC5Qj5nBcqcKLPRd8izQ,Homestead,Victoria's Secret,3,2,PA,3,18,,0
FituZ4jYzRe41ac9uvcHaQ,Homestead,LOFT,3,4.5,PA,2,13,,0
oPX8bpZ3dqviYQuic0Ahqw,Homestead,Gordon Shoes,6,4,PA,2,16,,0
FiXamVMgMf9U0VqFHDZSEA,West Homestead,Panera Bread,22,3,PA,1,112,Sandwiches,1
LG_Dgv7u7P2ASDWU1RAyWQ,Homestead,Munhall Veterinary Hospital,3,3.5,PA,,0,,0
ISKLP0qxApATxRlUDob6Cg,Homestead,Target,21,3.5,PA,2,283,,0
DMy5IG-dNrH4ARk96KngEA,Homestead,Men's Wearhouse,9,2.5,PA,3,12,,0
uLnDFdn011hEroQQMLmxNQ,Munhall,The Pizza Company,8,3.5,PA,1,0,Pizza,1
rdATJvFQK4C73NIQ3zoY3w,Homestead,DSW Designer Shoe Warehouse,5,4,PA,2,42,,0
g10zmpUzmMJOOIjj_JJPvg,Homestead,Bed Bath & Beyond,7,3,PA,2,64,,0
LQFWH1AKJlXGmEBlIKsBCw,Homestead,TJ Maxx,6,4,PA,2,62,,0
LO2CjrNL8DXkvm9uALgRjQ,Homestead,Marshalls,9,3,PA,2,36,,0
usSROUMiAgPcxV3Ym0OxMQ,Pittsburgh/Waterfront,Mitchell's Fish Market,99,3.5,PA,3,164,Seafood,1
qfL7ZFkxqDZOPIaVVfT3Aw,Homestead,Old Navy,6,3,PA,2,36,,0
GlYPVYSOVT7zn00Kk_Oz4g,Homestead,Dick's Sporting Goods,7,3,PA,3,55,,0
WaHXyBwljbKNPmmJZn5j8Q,West Mifflin,Shop 'n Save,3,3,PA,2,0,Food,0
bCw9HKDFLU_PppnNg-nIlw,West Mifflin,Giant Eagle,3,2.5,PA,2,10,Food,0
u22QDAON1kk0wjoTliyftw,West Mifflin,Latina Pizza,3,4,PA,1,4,Pizza,1
4ykgzzzGEWjMD5lwk1-l9A,West Mifflin,Big Bang Bicycles,16,4.5,PA,3,3,,0
53Yk2EODWnV9qHQECzeHVQ,West Mifflin,Bellisario Pizza Shop,4,3,PA,1,3,Pizza,1
iBZRphMDFcS2aMbawc1OvA,West Mifflin,Hunan Wok Chinese Restaurant,4,5,PA,1,0,Chinese,1
hnHt6EinzC-IX6y3GSF7jw,McKeesport,Minerva Bakery,11,5,PA,2,6,Food,0
LiMXTPwanF3LkkKHklFCjw,Mc Kees Rocks,Pierogies Plus,33,4.5,PA,,47,,0
GJAv1nAfnHuab8oRyr8mXg,McKees Rocks,Eat'n Park Restaurant,4,4,PA,1,8,American (Traditional),1
mIiHJkpK8nZvW_45LlhrbA,Mc Kees Rocks,Pasquarelli's Pizza House,12,4,PA,2,12,Pizza,1
bN3jIkPqbqroQJteJsC2uw,Mc Kees Rocks,Island Avenue Tattoo,4,3.5,PA,2,0,,0
OSYHPhvDWMqBRDZblqGiZA,McKees Rocks,Giant Eagle,3,3.5,PA,2,7,Food,0
8Nm_jcCYtMXYW0ODSHDiXA,Pittsburgh,Sapporo Japanese Steakhouse,7,4.5,PA,3,9,Japanese,1
9tAbTDdYTASHL7EU1e-OWw,Mc Kees Rocks,Ricci Italian Sausage,3,4.5,PA,1,11,Food,0
imM-x_nAxVtYGVFJJ4FS3Q,Pittsburgh,Cindy Esser's Floral Shop,6,3.5,PA,2,0,,0
T49ZvBa6mD4xHSmjHe-ArA,Bellvue,R & B's Pizza Place,14,4,PA,1,6,Pizza,1
TpLtXNrNK0FcmSLtNN7rpQ,Pittsburgh,Valvoline Instant Oil Change,3,4.5,PA,,0,,0
eOv0Dbq2E8sd0CKMAqTImw,Bellevue,Luigi's Pizzeria,17,4,PA,2,9,Pizzza,1
Lml0-yTNsMYsP9IrSMxw9A,Bellevue,China Sea Chinese Restaurant,9,3,PA,1,0,Chinese,1
dEuJ4A6v1lUDKF8wWwxy_w,Pittsburgh,Avalon Motel,8,1.5,PA,1,3,,0
jTAKV9zLlAjouAKh4Wd7Yg,Bellevue,Star Nails,4,3,PA,2,33,,0
jaT6pO-oUOuTBozfdB9NvA,Pittsburgh,Avalon Veterinary Hospital,10,3.5,PA,,21,,0
QVZBd_eu0oJ4IN0md2XPTQ,Bellevue,Vivo,4,5,PA,4,0,Italian,1
Rgn06TuHBnwZfAE93EQZGw,Bellevue,Fred Dietz Floral,3,4.5,PA,2,0,,0
_tV_uvbF3JFgsYRtoRWM-Q,Bellvue,Mane Attractions Unlimited,5,2.5,PA,2,0,,0
7wT532x2Qz5Hw9BqtBapqw,Bellevue,Lincoln Bakery,21,4,PA,2,26,Food,0
5TM2HW5stMa6DDdJ-JC2uQ,Pittsburgh,Metro Motors,3,2.5,PA,,0,,0
udZJ8YgsHdqtFDQkyPTV1Q,Pittsburgh,Arby's,4,3,PA,1,3,,1
oMoSc4tTay_THqF4Ke_WrQ,Bellevue,Kuhn's Market,7,4,PA,1,22,Food,0
kKmvSJ6Z8UVPdrnL74bqrg,Pittsburgh,Red White & Blue Thrift Store,21,3.5,PA,1,15,,0
ucKQlQvOeJxETLNkpKcaSw,Bellevue,Rusty Nail,24,3.5,PA,1,48,American (Traditional),1
Rjx8GcWuCzfVsKC5iPIcQA,Pittsburgh,Remember When,8,3.5,PA,1,12,Food,0
CxAupi9tjzTaGG5Fasu9Eg,Pittsburgh,Paul's Clock Repair,4,5,PA,,0,,0
s74Tq6WKV1b91UFRr7ch7g,Pittsburgh,Pistella Beer Distributors,12,4,PA,2,24,Food,0
ljKPmpxxTJSEArW2T-ikFA,Pittsburgh,Animal Elegance,8,4,PA,,0,,0
ZL6DNzyenFm9Kpz6uADlNg,Pittsburgh,Pino's Contemporary Italian Restaurant & Wine Bar,60,3,PA,2,43,Italian,1
uQJxkV5v60fNkrOj0J2sTw,Pittsburgh,Pirollo Paul Barber Shop,3,4.5,PA,2,0,,0
G-PlXGCY3G4zNOUzD61ZDA,Pittsburgh,Brunos Garage,5,5,PA,,5,,0
l-dc5DeNBiHYJA1XO4cFPA,Pittsburgh,Bastone Auto Service,15,4,PA,,0,,0
BG4N0V93wml9kaU6YYRxRA,Pittsburgh,Giant Eagle,13,2,PA,2,120,Food,0
rM-yscH8mBLYvpWnmvuPMw,Pittsburgh,Supercuts,7,2,PA,1,7,,0
OcTG-KzDleuRub-pb6JS3Q,Pittsburgh,Eddie's Pizza Haus,5,4,PA,1,4,Pizza,1
5UxCrCoS02vFlSKH0pZ-fg,Pittsburgh,Bonura and Sattler Auto Body Shop,4,5,PA,,0,,0
Y2p07YEC8xOsYTHWf0UxiA,Pittsburgh,Tasty Chinese Restaurant,21,2.5,PA,1,14,Chinese,1
w8N1BIB2MiP53PM7ouYPQQ,Pittsburgh,Shell,5,2,PA,,14,,0
f_e6RWJIERK708E4Cod1wg,Pittsburgh,Mikes Auto Body,18,4.5,PA,,0,,0
VkFDer80GOrelWALdgNReg,Pittsburgh,Animal Rescue League Shelter & Wildlife Center,40,4,PA,,234,,0
ncJHHRHqsEKUl_5InoDBRA,Pittsburgh,Topline by Vincent,7,4,PA,,0,,0
vXBc-i30S0eypUVy7TA6cw,Pittsburgh,CVS Pharmacy,5,2,PA,2,24,,0
UFhcxnTzfLO-ROftyP_ukw,Pittsburgh,Goodyear Auto Service Center,7,2.5,PA,,7,,0
WNh5vxnNeWTwxotscrQ6vQ,Pittsburgh,Rockwel Realty,7,3,PA,,0,,0
83_p9vIqOq1TUIf3_GD7bA,Pittsburgh,Tazza D'oro Cafe & Espresso Bar,106,4.5,PA,1,237,Food,1
1xRLO1NM8-3soskp2fEgyw,Pittsburgh,Club One,10,3.5,PA,,45,,0
UtWJ8NGMg-3z28s0RzlUoQ,Pittsburgh,China Garden,14,3,PA,1,18,Chinese,1
Nnk1gNKSi_12ziNuK2llxA,Pittsburgh,Arhaus Furniture,4,4,PA,3,7,,0
Px-EjhtV9XJcEs1ty4giAg,Pittsburgh,Smiley's Pet Pad,5,5,PA,,0,,0
2i6lkGef2_GMudi6SbRX2w,Pittsburgh,Shady Hill Chiropractic Clinic,7,4.5,PA,,0,,0
t15LDNaHFpu-bAEJSdoV-g,Pittsburgh,Monro Muffler Brake & Service,8,1.5,PA,,6,,0
WWlNzfSllSQhr4whj0W_ng,Pittsburgh,Walter's Automotive,85,5,PA,,17,,0
R03p_2AxXpNtM31lutbnkA,Pittsburgh,Kelly Strayhorn Theater,4,4,PA,,24,,0
LVEHxJheleSXj1oKxALYbQ,Pittsburgh,Ace Lock,9,5,PA,,0,,0
eRcfdmon9Tj_F42qzgB5SQ,Pittsburgh,JJ Land Company,11,2.5,PA,,0,,0
YMEtEsUDQKOYJOcE5Fx3gQ,Pittsburgh,Food Glorious Food,32,4.5,PA,2,50,Food,0
#NAME?,Pittsburgh,AAA,11,3,PA,,14,,
1IwQhGGOrVNGGQskR_3uLw,Pittsburgh,Carnegie Library of Pittsburgh - East Liberty,4,5,PA,,33,,0
qA1PXTv0snTO1gpNPm-Jfw,Pittsburgh,The Home Depot,26,3,PA,2,310,,0
riqqVx-LssGUErBeQisKng,Pittsburgh,Pittsburgh Glass Center,12,4.5,PA,,57,,0
fp-tknN_5XBmhUS4fSJBgQ,Pittsburgh,Mt. Ararat Baptist Church,4,5,PA,,83,,0
hzEFfuz2mOA3whGk8UZxjQ,Pittsburgh,Hairdressers II,6,5,PA,,0,,0
IX8FoKD6Gjha0pePoBrSqQ,Pittsburgh,Shadyside Valet,9,3,PA,2,0,,0
FZ67NZD-_aou82e-7TT_nA,Pittsburgh,Midas,7,3.5,PA,,0,,0
56eSsdwPI7t6c0t312VqLg,Pittsburgh,Motheral,4,3.5,PA,,0,,0
B9C6j80ob0f1pwi1Cnnd1Q,Pittsburgh,Pizza Parma,29,3,PA,2,31,Pizza,1
OWNkVvDfREC1_6S3jS-7Ug,Pittsburgh,Family Vision Care,3,4.5,PA,,0,,0
gZEUfwSZDuVtLDWl96kiFA,Pittsburgh,Econowash Laundry,4,3,PA,2,0,,0
wfCLz9-aeShbPB7CaTY-qQ,Pittsburgh,Whole Foods Market,106,3.5,PA,3,1327,Food,0
kDtr03NIjERTqpdfVRCXWg,Pittsburgh,Prop Shop,3,5,PA,,0,,0
PaD_6AJMbLt84QU8T6ymow,Pittsburgh,Aamco Transmissions,17,4.5,PA,,0,,0
XhVqPwnKEFa6QuU-NNb2ag,Pittsburgh,Franklin West,7,2,PA,,0,,0
0sSHuXYIuJ5iy8eSCAq4gg,Pittsburgh,Pittsburgh Indoor Tennis Club,3,4.5,PA,,0,,0
XC9blQA9Mk4w7oKVJ0nJXw,Pittsburgh,Time Bomb Spot,3,4.5,PA,2,14,,0
tvXTHj9V5sgRoeVJW_FiTg,Pittsburgh,Jimmy Tsang's Chinese Restaurant,12,3,PA,2,0,Chinese,1
wK3Bxrjd4pfwhxlVkKawpw,Pittsburgh,Kamin Realty,3,1,PA,,0,,0
QD-tOlwW0A06L-e0OUuEMA,Pittsburgh,Herbert Halsband Real Estate,4,4,PA,,0,,0
lHP5STO7aomlEQixH8m1aA,Pittsburgh,Pizza Perfectta,60,4,PA,2,46,Pizza,1
0TvxDhCKPQ-_dDyffEnJQQ,Pittsburgh,Point Breeze Veterinary Clinic,13,4.5,PA,,8,,0
EPILrBqmgQxd-R1gZ1EWJg,Pittsburgh,Frick Park Market,13,4.5,PA,1,4,Food,0
PavTvJ4JSe9rAwjlr-wrsg,Pittsburgh,Construction Junction,34,4.5,PA,,103,,0
bAnFMk-UoNjyVYUj0sJT0w,Pittsburgh,Block Harvey M DMD,3,5,PA,,0,,0
5V1K5DRpGrObijbtCuPbcg,Pittsburgh,The Climbing Wall,36,3.5,PA,,50,,0
t_Mjhtr0KTB9uGNzxl37WQ,Pittsburgh,Meineke Car Care Center,6,3.5,PA,,0,,0
l_Wey2YC6NvVUIH8vTygGg,Pittsburgh,Cafe Zinho,61,4,PA,2,49,Mediterranean,1
XWLtYPhCpHht5Zn52zp3-Q,Pittsburgh,Frick Art & Historical Center,36,4,PA,,53,,0
4pDO3TZ-WJDofAt4uREMig,Pittsburgh,Angels Automotive Service,3,4.5,PA,,0,,0
XvyKrYbc0dvih-P8dATEMA,Pittsburgh,Appliance Service Center,6,3.5,PA,,0,,0
cuuJJ9W3tYmidaLvlzvPBw,Pittsburgh,Izzazu Salon,25,3,PA,3,38,,0
Y3E5QDlKmjHD2zOSPASFIA,Pittsburgh,Maietta Restaurant,5,4,PA,1,0,,1
2PfavOTufsPCRdYm-bFcpw,Pittsburgh,Page Dairy Mart,74,4.5,PA,1,475,Food,0
F1WATjGcFKhewCXvleTi8w,Pittsburgh,Miller Ace Hardware,4,4.5,PA,2,0,,0
RqWF79LfzXl0PAN_hVCa2Q,Pittsburgh,Kullman's Bakery,3,3.5,PA,2,0,Food,0
W7-Ybhe6JWJFXjcbmgvdyA,Pittsburgh,Great Wall Chinese Food,3,3,PA,1,0,Chinese,1
qUeBDN0D8SC93KeAHhiL-g,Pittsburgh,Alla Famiglia,101,4.5,PA,4,93,Italian,1
YXuvFMtygHPFEOEXgRtgLQ,Pittsburgh,No 1 China House,5,2.5,PA,1,0,Chinese,1
lItAsttBd6f6VFvVxZSIgg,Pittsburgh,Dollar Bank,3,4,PA,,0,,0
RmGlsFfoxaf9vWpfkyXBjQ,Pittsburgh,Future Nails,4,2.5,PA,1,0,,0
LltDzuzRbAJbSrqD4JH-3A,Pittsburgh,Hunan Wok Chinese Takeout,8,2.5,PA,2,3,Chinese,1
1tSzow6N3xDM4t5sCkDY1g,Pittsburgh,Cost Cutters,4,4,PA,2,0,,0
fnAU_q5JWWuPzMvwtQh3Tg,Pittsburgh,Bohn M J Cycle Shop,5,2,PA,,0,,0
vTHVf88tai9n0902QzZiig,Pittsburgh,Roth Computer Register,3,1,PA,2,0,,0
Ga0y-XHa4os_VvoHz21bfQ,Pittsburgh,Anthony's Pizza,7,3.5,PA,2,0,Pizza,1
YMTmjvX8IKdrlIsixawWOg,Pittsburgh,Sunoco A Plus,3,2.5,PA,,0,,0
bockWFDA3mzjuujY7tOcaw,Pittsburgh,Bernie's Photo Center,11,3,PA,3,0,,0
TyIsuojeKcTb4Acfg7xqew,Pittsburgh,China Taste,12,4,PA,1,11,Chinese,1
oj8bMz76cKXQClpFTFNW9w,Pittsburgh,North Shore Deli,10,4.5,PA,1,11,,1
hBAcj7X5JHeX2hvmptwH-w,Pittsburgh,The Priory Hotel,37,4,PA,2,58,,0
Q0Mb1wtXrza1nKWHqiLfDQ,Pittsburgh,Payne Rose Marie Notary,3,4.5,PA,,0,,0
#NAME?,Pittsburgh,Pasta Too,4,4,PA,,0,Pizza,
e5DtayybW4jbKcDBwEUmOQ,Pittsburgh,Mullin's Diner,9,4,PA,1,9,,1
Z7HNl4Gz00cA0_wt0S-vSw,Pittsburgh,BreadWorks,17,4.5,PA,1,57,Food,0
CqHTknOJHZZncWzGtpbNsA,Pittsburgh,Ron's Pizza Palace,5,2.5,PA,1,0,Pizza,1
OjzR6hUYasFReo0vhVn0-w,Pittsburgh,Teutonia Mannerchor,9,4.5,PA,2,32,Food,1
6AnorAMPkTdSDbUkOoV1Rw,Pittsburgh,Billy's Troy Hill Bistro,5,3,PA,2,25,,1
0Ov1O2Gd0dwjkSaj5NJbhg,Pittsburgh,Rangos Omnimax Theater,6,4.5,PA,,23,,0
EEuGTah-oEssSl3o6pK-ZQ,Pittsburgh,Carnegie Museums of Pittsburgh,49,4.5,PA,1,127,,0
49nxzKLr2qQnLF58qo2p1w,Pittsburgh,Heinz USA,4,5,PA,1,3,,1
q_BKmbdlYfQJroJVHfYMUQ,Pittsburgh,Legends North Shore,83,4,PA,2,79,Italian,1
zq--BGVHu7_fb1VHEwg2ow,Pittsburgh,Caruso Beer Distributor,8,4.5,PA,2,3,Food,0
cZl7-Um4HiJWFgDVmMan2Q,Pittsburgh,Giant Eagle,18,1.5,PA,2,30,Food,0
9jkxYkOOLge89D3KHrrNsw,Pittsburgh,Dave's Barber Shop,3,4.5,PA,1,0,,0
yZiDtpCarfI2f1qbZYQiJA,Pittsburgh,Pfennig's Cleaners Inc,4,3,PA,1,0,,0
xMekAmDsCdhk21Buf9ucSQ,Pittsburgh,Cool Beans Coffee,4,5,PA,1,9,Food,0
Hm61vENWRqcAL_v6E3dD9Q,Pittsburgh,Allegheny YMCA,3,4.5,PA,,0,,0
hUV4bjXE8Ijd-pDNr8S6mA,Pittsburgh,Steves New York Hotdog Shop,6,4.5,PA,1,6,,1
NKT8-CeoqUYIGUeNXBPVVQ,Pittsburgh,Nails Today,4,3,PA,1,0,,0
Od9niVya8G5BD3a1l2ss-g,Pittsburgh,Lillen's Restaurant,3,4.5,PA,1,0,,1
zOEKMp69QWrXeyVH1Je9DA,Pittsburgh,Atch-Mont Real Estate,3,2,PA,,0,,0
-Gfj1gA0Ir07zToO-4fBpw,Pittsburgh,Children's Museum of Pittsburgh,38,5,PA,,239,,0
Eixtf79t1_ZKaC-7J2kAWg,Pittsburgh,Pickles Pizza & Sandwich Emporium,14,3.5,PA,1,10,Pizza,1
Z0OGW8PysysRXE0dR7QxQQ,Pittsburgh,Wilson's Bar-B-Q,17,4,PA,2,19,Barbeque,1
5GS5sBSscgcex0IFTDL9Bg,Pittsburgh,Pittsburgh Steelers,51,4.5,PA,,81,,0
I9-Ei8_KYtMjbixNJSCvwA,Pittsburgh,The Isaly Company,4,3.5,PA,1,0,Food,1
fB7XYJYrTtchlTmzSQVMbQ,Pittsburgh,Pittsburgh Pirates,11,3,PA,,172,,0
I5JRRkFZrrdcdiT91WwdUw,Pittsburgh,St Anthony's Chapel,6,4,PA,,0,,0
W25mXeVDTHBIXAidJrwHPg,Pittsburgh,Lester Yon Auto Repair,5,4,PA,,0,,0
yfuoL_w76WFVHcGJbw0IIg,Pittsburgh,Nick's Place,8,3.5,PA,2,0,Pizza,1
TJS9ow91yySX4Gt35hQc1w,Pittsburgh,Three Dogs & A Cat Grooming Salon,3,5,PA,,0,,0
obAdXU3RULuUOww759_h_w,Pittsburgh,Tom Fridays Market,9,5,PA,1,10,Food,0
AAcw9y30cRuMo0oa8UBiIw,Pittsburgh,Wiseguys Pizza,7,3.5,PA,2,3,Pizza,1
YUZVBdGmagwXV-yOhR-1GQ,Pittsburgh,Miller's Seafood House,12,3,PA,2,12,Seafood,1
OIL-eZX8d10jgWPLW-E7zA,Pittsburgh,Chubby's Pizza & Hoagies Northside,11,3,PA,1,14,Pizza,1
ExEEi8U78wN6iFhJsH7Eeg,Pittsburgh,Arbors B & B,3,4.5,PA,,0,,0
N2DwycuZl95miWf39Yskaw,Pittsburgh,Schorr Bakery,5,4,PA,2,26,Food,0
4KJhRKocVPhrkdQQX2KVCw,Pittsburgh,All the Best Catering,5,4,PA,,0,,0
titJ-ofqKMG9d0i9_kkX6A,Pittsburgh,West Liberty Animal Hospital,7,5,PA,,0,,0
PSlOtPIo28BvWOzdLmRRRQ,Pittsburgh,Knossos Gyros & Sis-Kabob,13,3.5,PA,1,14,Greek,1
H9R8b2pgn3NQhQHesEUEiQ,Pittsburgh,The Exchange,3,3.5,PA,2,0,,0
0zO219KZJf-5QsRNRMmELQ,Pittsburgh,Pennzoil 10 Minute Oil Change Center,3,2,PA,,3,,0
Wnn1GtvvtnkFdPfdRcYW-Q,Pittsburgh,Moonstones,14,4,PA,2,12,,0
oXaIwYLi9mzUxcYde9rDcg,Pittsburgh,Entertainment Unlimited Inc,6,4,PA,,0,,0
9NL2GL4jSPVj9SKijH5PqA,Pittsburgh,Kuhn's Market,18,4,PA,2,145,Food,0
f0Sz4efqcGDO45fNyIuD3w,Pittsburgh,Tonys Barber Shop,3,2,PA,2,0,,0
7ArW9lGBoSNOWIY5myDLWw,Pittsburgh,Persona Hair & Spa,4,3,PA,3,0,,0
dWVFS5Jiu6Ee7vOLc2T6-w,Pittsburgh,West Liberty Cycles,6,4.5,PA,,7,,0
uie9L4ZrCvDdkSdByOVTLQ,Mount Lebanon,The Coffee Tree Roasters,19,3.5,PA,2,83,Food,0
81sqVj0xHyJXGYT0ip5fmQ,Pittsburgh,Green Garden,9,2.5,PA,2,8,Chinese,1
m61vZsAxmTEq3uiCjFjM8Q,Pittsburgh,Tom's Diner,33,3.5,PA,1,73,Diners,1
QjMZ3Gt4c-vS2uVUWQrVbw,Pittsburgh,Vasta,3,2.5,PA,,0,,0
WY6FFxpa6ztwDH5OhS6WDw,Pittsburgh,Potomac Bakery,20,3.5,PA,2,15,Food,0
nvrXLcmknaYuiGRquWhwIQ,Pittsburgh,Days Inn Pittsburgh,21,2,PA,2,5,,0
93UCt9OgWYmypZCpXtUu8g,Pittsburgh,Beto's Pizza,127,4,PA,1,133,Pizza,1
106U0pNBlmR5uekLzOTdBg,Pittsburgh,Suburban Dry Cleaners,4,3,PA,2,0,,0
LV_OCiR9rOHVHgdhbpqw2Q,Pittsburgh,Scoops On Beverly,13,4,PA,1,26,Food,0
cRv7pLvIe3eI0efndQBcLg,Pittsburgh,Banksville Beer,4,3,PA,2,22,Food,0
#NAME?,Pittsburgh,PICT Classic Theatre,5,5,PA,,18,,
ZH_t1lKTDOdPOvyIckDOMA,Pittsburgh,Lighting by Erik Inc,6,2.5,PA,,0,,0
IGF_b0dO3R2J-p8x70gK4Q,Pittsburgh,Metro Heating & Cooling Corp,3,3.5,PA,,0,,0
5Udv4CASAXB2eH66TefWPQ,Pittsburgh,Cain's Saloon,87,3.5,PA,2,151,American (New),1
l4zq494c6zfNUJrMcd9Y1w,Pittsburgh,The Laundry Basket,3,4.5,PA,2,5,,0
nrVJI0fhbjO1eOZZ5gLWqg,Dormont,Dormont Floral Designs,6,3.5,PA,3,0,,0
Cex2R008tMFg8R5fAtf77w,Pittsburgh,Campiti's Don Pizzeria,31,3.5,PA,1,69,Pizza,1
xmyWUwZtjPK6xLdNuAUxaw,Pittsburgh,Geno Como Salon,7,3,PA,3,0,,0
PHs72DjjpVStO2HzWfM5jQ,Pittsburgh,Martik Family Dental LLC,3,5,PA,,0,,0
n7G2XFGvmS3duDJ4AzjKiQ,Pittsburgh,Namaste India,24,3,PA,2,53,Indian,1
8tBfgYCI6Fz9xrSYCYCYXA,Pittsburgh,Maharaja Restaurant,10,3.5,PA,1,5,Indian,1
Tb7hQ37UFA2QFaMwjFieQw,Pittsburgh,Arby's,6,2.5,PA,,8,Fast Food,1
21hqlWgjmNgW4pBZJDuziQ,Pittsburgh,Market On Broadway IGA,5,3,PA,1,21,Food,0
iudRNo5Q8W7firUBYJEqQQ,Pittsburgh,Little Nipper's Pizza,11,2.5,PA,2,5,Pizza,1
v0GwJK6CnFpKVex-ekCpJg,Pittsburgh,Dormont Lanes,3,4,PA,,0,,0
bufORugql7KgD_d5KvhxDQ,Pittsburgh,The Botanical Emporium Florist & Greenhouse,5,4,PA,2,0,,0
